SKU,Barkod,Kategori,Ürün,Marka,Ty Ürün Adi,Fiziki Magaza Fiyati,Komisyon Orani,Komisyon Tutari,Komisyon Sonrasi,Aktif/Pasif,KDV,KDV Dahil Satis Fiyati,Frictions,Marketplace Açiklama
ZYT-TRS-006,2990000001405,Tursu,Salatalik Tursusu 0 g,Zeytuni,Ev Yapimi Salatalik Tursusu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-TRS-007,2990000001406,Tursu,Kornison Tursusu 0 g,Zeytuni,Ev Yapimi Kornison Tursusu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-SRK-013,2990000001600,Sirke,Elma Sirkesi 0 L,Zeytuni,Elma Sirkesi 0 L,450,23.75%,140.1639344,450.00,PASIF,10%, ?590.16 ,,
ZYT-SRK-014,2990000001601,Sirke,Üzüm Sirkesi 0 L,Zeytuni,Üzüm Sirkesi 0 L,450,23.75%,140.1639344,450.00,PASIF,10%, ?590.16 ,,
ZYT-SRK-015,2990000001602,Sirke,Enginar Sirkesi 0 L,Zeytuni,Enginar Sirkesi 0 L,500,23.75%,155.7377049,500.00,PASIF,10%, ?655.74 ,,
ZYT-SRK-016,2990000001603,Sirke,Incir Sirkesi 0 L,Zeytuni,Incir Sirkesi 0 L,500,23.75%,155.7377049,500.00,PASIF,10%, ?655.74 ,,
ZYT-SLC-001,2990000001800,Salça,Domates Salçasi 700 g,Zeytuni,Ev Yapimi Domates Salçasi 700 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-SLC-002,2990000001801,Salça,Aci Biber Salçasi 700 g,Zeytuni,Katkisiz Aci Biber Salçasi 700 g,400,23.75%,124.5901639,400.00,PASIF,1%, ?524.59 ,,
ZYT-SLC-003,2990000001802,Salça,Tatli Biber Salçasi 700 g,Zeytuni,Katkisiz Tatli Biber Salçasi 700 g,400,23.75%,124.5901639,400.00,PASIF,1%, ?524.59 ,,
ZYT-SOS-017,2990000002000,Sos,Nar Eksisi,Zeytuni,Nar Eksisi,300,23.75%,93.44262295,300.00,PASIF,10%, ?393.44 ,,
ZYT-PKZ-018,2990000002200,Pekmez,Üzüm Pekmezi 850 g,Zeytuni,Üzüm Pekmezi 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-BAL-019,2990000002400,Bal,Çiçek Bali 800 g,Zeytuni,Çiçek Bali 800 g,850,23.75%,264.7540984,850.00,PASIF,1%," ?1,114.75 ",,
ZYT-KYM-001,2990000002600,Kuruyemis,Ceviz Iç 1 kg,Zeytuni,Taze Ceviz Iç 1 kg,950,23.75%,295.9016393,950.00,PASIF,10%," ?1,245.90 ",,
ZYT-KYM-002,2990000002601,Kuruyemis,Ceviz Kabuklu 1 kg,Zeytuni,Taze Ceviz Kabuklu 1 kg,400,23.75%,124.5901639,400.00,PASIF,10%, ?524.59 ,,
ZYT-KYM-003,2990000002602,Kuruyemis,Incir Kurusu 1 kg,Zeytuni,Incir Kurusu 1 kg,850,23.75%,264.7540984,850.00,PASIF,10%," ?1,114.75 ",,
ZYT-KYM-099,2993023245292,Kuruyemis,Incir Kurususadada 1 kg,Zeytuni,Incir Kurusu 1 kg,850,23.75%,264.7540984,850.00,PASIF,10%," ?1,114.75 ",,
